2026-06-08 17:46:26,016 | INFO | Search query: 2024 中职学考公共基础数学
2026-06-08 17:46:28,161 | INFO | Search query: 2024 厦门 中职 公共基础 模拟卷 数学
2026-06-08 17:46:30,400 | INFO | Search query: 2024 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 17:46:32,568 | INFO | Search query: 2025 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 17:46:34,739 | INFO | Search query: 2025 公共基础知识综合卷
2026-06-08 17:46:36,953 | INFO | Search query: 2025 中职学考公共基础数学
2026-06-08 17:46:39,201 | INFO | Search query: 2025 厦门 中职 公共基础 模拟卷 数学
2026-06-08 17:46:41,379 | INFO | Search query: 2025 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 17:46:43,549 | INFO | Output /Users/greenbarry/Documents/Codex/2026-06-08/files-mentioned-by-the-user-11/outputs/fj_zhongzhi_public_math_project/data/processed/xiamen_public_basic_sources.xlsx with 4 rows
2026-06-08 17:46:43,550 | WARNING | No downloaded Xiamen public basic mock paper was verified in this run.
2026-06-08 21:08:49,997 | INFO | Start crawling Xiamen public basic papers
2026-06-08 21:08:49,999 | INFO | Search query: 2022 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 21:08:52,198 | INFO | Search query: 2022 公共基础知识综合卷
2026-06-08 21:08:54,330 | INFO | Search query: 2022 中职学考公共基础数学
2026-06-08 21:08:56,547 | INFO | Search query: 2022 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:08:58,807 | INFO | Search query: 2022 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:09:00,956 | INFO | Search query: 2023 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 21:09:03,104 | INFO | Search query: 2023 公共基础知识综合卷
2026-06-08 21:09:05,315 | INFO | Search query: 2023 中职学考公共基础数学
2026-06-08 21:09:07,510 | INFO | Search query: 2023 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:09:09,761 | INFO | Search query: 2023 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:09:11,996 | INFO | Search query: 2024 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 21:09:14,221 | INFO | Search query: 2024 公共基础知识综合卷
2026-06-08 21:09:16,372 | INFO | Search query: 2024 中职学考公共基础数学
2026-06-08 21:09:18,676 | INFO | Search query: 2024 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:09:20,886 | INFO | Search query: 2024 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:09:23,047 | INFO | Search query: 2025 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 21:09:25,291 | INFO | Search query: 2025 公共基础知识综合卷
2026-06-08 21:09:27,445 | INFO | Search query: 2025 中职学考公共基础数学
2026-06-08 21:09:29,728 | INFO | Search query: 2025 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:09:31,970 | INFO | Search query: 2025 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:09:34,128 | INFO | Search query: 2026 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 21:09:36,387 | INFO | Search query: 2026 公共基础知识综合卷
2026-06-08 21:09:38,639 | INFO | Search query: 2026 中职学考公共基础数学
2026-06-08 21:09:40,783 | INFO | Search query: 2026 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:09:43,046 | INFO | Search query: 2026 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:09:45,404 | INFO | Output /Users/greenbarry/Documents/Codex/2026-06-08/files-mentioned-by-the-user-11/outputs/fj_zhongzhi_public_math_project/data/processed/xiamen_public_basic_sources.xlsx with 8 rows
