city,school,prev_year,prev,year,value,ratio
莆田,莆田学院,2019,1637,2020,155,0.09
莆田,莆田学院,2020,155,2021,1560,10.06
福州,福建江夏学院,2019,110,2020,495,4.5
福州,福州工商学院,2020,67,2021,759,11.33
福州,福建商学院,2019,87,2020,451,5.18
宁德,宁德师范学院,2019,77,2020,493,6.4
泉州,泉州信息工程学院,2019,496,2020,109,0.22
泉州,泉州信息工程学院,2020,109,2021,480,4.4
福州,阳光学院,2019,423,2020,8,0.02
福州,阳光学院,2020,8,2022,546,68.25
