combo,n,Dg,Dg_rank,RSP,RSP_rank,BI,BI_rank
福厦(跨核互补·C类),2,0.9322,1/36,0.0072,27/36,0.2078,1/36
厦漳泉(都市圈·B类),3,0.5735,49/84,0.0633,53/84,0.1432,5/84
福州都市圈(B类),3,0.7291,17/84,0.2827,4/84,0.0219,32/84
闽东北协同区(B类),4,0.6767,31/126,0.2918,2/126,0.0054,78/126
闽西南协同区(B类),5,0.5264,97/126,0.1081,105/126,0.0869,29/126
