0,1,2,3
指 标,单位,绝对数,比上年增长(%)
货物运输总量,万吨,183556.99,3.2
铁路[5],万吨,4392.60,2.3
公路,万吨,112423.33,1.7
水运,万吨,66720.04,5.8
民航,万吨,21.02,17.7
货物运输周转量,亿吨公里,12976.76,6.1
铁路,亿吨公里,200.62,-6.5
公路,亿吨公里,1410.82,7.0
水运,亿吨公里,11359.57,6.2
民航,亿吨公里,5.74,26.5
