0,1,2,3
指 标,单位,绝对数,比上年增长(%)
旅客运输总量,万人,49733.43,12.6
铁路,万人,14117.92,13.2
公路[6],万人,30447.58,11.2
水运,万人,1377.32,26.5
民航,万人,3790.61,18.0
旅客运输周转量,亿人公里,1194.39,15.7
铁路,亿人公里,408.13,7.8
公路,亿人公里,119.49,4.4
水运,亿人公里,1.10,12.1
民航,亿人公里,665.67,23.7
