0,1,2,3
指标,全省（%）,,
指标,全省（%）,城市,农村
居民消费价格,-0.1,-0.1,-0.1
食品烟酒,-0.4,-0.3,-0.7
衣着,1.3,1.4,0.8
居住,-0.4,-0.4,-0.5
生活用品及服务,1.2,1.2,1.0
交通通信,-2.1,-2.2,-1.6
教育文化娱乐,0.8,0.6,1.5
医疗保健,1.2,1.3,0.8
其他用品服务,4.3,4.2,4.3
