0,1,2
指 标,年末数(亿元),比上年末增长(%)
各项存款,84278.73,4.0
其中：住户存款,39412.50,9.7
非金融企业存款,22865.00,2.8
其中：人民币存款,81275.43,3.6
各项贷款,86252.59,4.7
其中：住户贷款,37674.65,1.1
企（事）业单位贷款,46541.63,8.1
其中：人民币贷款,85414.18,5.0
