province,year,indicator_id,label,keyword,candidate_value,context,source_title,source_url
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,5.8 %,亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5.5 %。 第一 产业增加值占地区生产总值的比重为 5.7 %， 第二 产业增加值比重为 42.8 %， 第三 产业增加值比重为 51.5 %。全年人均 地区 生产总值 137920 元，比上年增长 5.5 %。 图1 20 20 -202 4 年地区生产总值及其增长速度 图2 2,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,29760.19 亿元,亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5.5 %。 第一 产业增加值占地区生产总值的比重为 5.7 %， 第二 产业增加值比重为 42.8 %， 第三 产业增加值比重为 51.5 %。全年人均 地区 生产总值 137920 元，比上年增长 5.5 %。 图1 20 20 -202 4 年地区生产总值及其增长速度 图2 2,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,6,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅 ︿ TOP 国务院 工信部 省政府 简体版 繁体版 | 微信 福建工信 闽政通 闽政通APP 登录 注册 网站支持IPV6 首页 机构 政务公开 解读回应 政务服务 政民互动 领导介绍 工作职能 各处,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,2023,： 全省 本站    点击结束 秒 热门搜索： 长者模式 退出长者模式 无障碍浏览 当前位置： 首页 政务公开 新闻 行业动态 省内行业动态 福建高校新增人工智能等专业 来源：福州晚报 时间：2023-07-21 09:23 微信 微博 QQ空间 福建省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,-07,： 全省 本站    点击结束 秒 热门搜索： 长者模式 退出长者模式 无障碍浏览 当前位置： 首页 政务公开 新闻 行业动态 省内行业动态 福建高校新增人工智能等专业 来源：福州晚报 时间：2023-07-21 09:23 微信 微博 QQ空间 福建省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,-21,： 全省 本站    点击结束 秒 热门搜索： 长者模式 退出长者模式 无障碍浏览 当前位置： 首页 政务公开 新闻 行业动态 省内行业动态 福建高校新增人工智能等专业 来源：福州晚报 时间：2023-07-21 09:23 微信 微博 QQ空间 福建省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,09,： 全省 本站    点击结束 秒 热门搜索： 长者模式 退出长者模式 无障碍浏览 当前位置： 首页 政务公开 新闻 行业动态 省内行业动态 福建高校新增人工智能等专业 来源：福州晚报 时间：2023-07-21 09:23 微信 微博 QQ空间 福建省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,2023,智能等专业 来源：福州晚报 时间：2023-07-21 09:23 微信 微博 QQ空间 福建省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业，为福建省人工智能产业提供人才支撑。其中，福建农林大学等6所在榕高校新增数字经济、人工智能专业；福建师范大学新增数据科学专业；福建理工大学新增智慧海洋技术专业。 福,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,-07,智能等专业 来源：福州晚报 时间：2023-07-21 09:23 微信 微博 QQ空间 福建省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业，为福建省人工智能产业提供人才支撑。其中，福建农林大学等6所在榕高校新增数字经济、人工智能专业；福建师范大学新增数据科学专业；福建理工大学新增智慧海洋技术专业。 福,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,-21,智能等专业 来源：福州晚报 时间：2023-07-21 09:23 微信 微博 QQ空间 福建省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业，为福建省人工智能产业提供人才支撑。其中，福建农林大学等6所在榕高校新增数字经济、人工智能专业；福建师范大学新增数据科学专业；福建理工大学新增智慧海洋技术专业。 福,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,09,智能等专业 来源：福州晚报 时间：2023-07-21 09:23 微信 微博 QQ空间 福建省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业，为福建省人工智能产业提供人才支撑。其中，福建农林大学等6所在榕高校新增数字经济、人工智能专业；福建师范大学新增数据科学专业；福建理工大学新增智慧海洋技术专业。 福,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,6,省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业，为福建省人工智能产业提供人才支撑。其中，福建农林大学等6所在榕高校新增数字经济、人工智能专业；福建师范大学新增数据科学专业；福建理工大学新增智慧海洋技术专业。 福州大学教授、福州大学5G+工业互联网研究院院长、福州市科创走廊首席科技创新顾问黄捷表示，近年来,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,5,省去年出台《关于普通本科高校学科专业结构调整优化的指导意见》，新增人工智能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业，为福建省人工智能产业提供人才支撑。其中，福建农林大学等6所在榕高校新增数字经济、人工智能专业；福建师范大学新增数据科学专业；福建理工大学新增智慧海洋技术专业。 福州大学教授、福州大学5G+工业互联网研究院院长、福州市科创走廊首席科技创新顾问黄捷表示，近年来,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,6,能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业，为福建省人工智能产业提供人才支撑。其中，福建农林大学等6所在榕高校新增数字经济、人工智能专业；福建师范大学新增数据科学专业；福建理工大学新增智慧海洋技术专业。 福州大学教授、福州大学5G+工业互联网研究院院长、福州市科创走廊首席科技创新顾问黄捷表示，近年来福州人工智能产业加速发展，目前已初步形成基础支撑、关键技术、应用场景三个,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,E_AI_MAJOR_COUNT,AI相关专业数量,人工智能,5,能、数字经济、机器人工程、集成电路设计与集成系统、智慧海洋技术、智慧林业等专业，为福建省人工智能产业提供人才支撑。其中，福建农林大学等6所在榕高校新增数字经济、人工智能专业；福建师范大学新增数据科学专业；福建理工大学新增智慧海洋技术专业。 福州大学教授、福州大学5G+工业互联网研究院院长、福州市科创走廊首席科技创新顾问黄捷表示，近年来福州人工智能产业加速发展，目前已初步形成基础支撑、关键技术、应用场景三个,福建高校新增人工智能等专业 _ 省内行业动态 _ 省工信厅,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202307/t20230721_6211220.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,111个,程研究中心（工程实验室）111个、国地共建工程研究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,33家,程研究中心（工程实验室）111个、国地共建工程研究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,67家,程研究中心（工程实验室）111个、国地共建工程研究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,4家,程研究中心（工程实验室）111个、国地共建工程研究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,11个,11个、国地共建工程研究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利106388件，比上年末增,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,33家,11个、国地共建工程研究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利106388件，比上年末增,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,67家,11个、国地共建工程研究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利106388件，比上年末增,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,4家,11个、国地共建工程研究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利106388件，比上年末增,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,33家,究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利106388件，比上年末增长17.0%，每万人口,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,67家,究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利106388件，比上年末增长17.0%，每万人口,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,4家,究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利106388件，比上年末增长17.0%，每万人口,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
福建,2024,I_AI_COMPANY_COUNT,AI企业数量,企业,338家,究中心（工程实验室）33家。建设国家备案众创空间67家、国家专业化众创空间4家、省级众创空间338家、国家级科技企业孵化器27家、省级科技企业孵化器70家，在孵企业和创业团队共计13624家。现有国家高新技术企业14561家。新认定国家企业技术中心8家、省级企业技术中心72家。专利授权122246件，其中，发明专利授权22245件。截至年末，有效发明专利106388件，比上年末增长17.0%，每万人口,2024年福建省国民经济和社会发展统计公报（部分科技数据）,https://kjt.fujian.gov.cn/xxgk/tjxx/tjsj/202503/t20250316_6779680.htm
